Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-07-11,EQ,1623.95,1625.85,1601.0,1626.1,1623.0,1621.9,1612.69,1794.0,1363.55,22088537,35621865220.1,483343
2024-07-12,EQ,1622.0,1638.4,1611.15,1621.9,1627.55,1622.7,1624.06,1794.0,1363.55,28024980,45514220345.85,332780
2024-07-15,EQ,1623.5,1629.8,1615.2,1622.7,1623.0,1622.1,1622.0,1794.0,1363.55,16687847,27067666840.4,217738
2024-07-16,EQ,1620.75,1627.0,1616.8,1622.1,1621.0,1619.75,1621.84,1794.0,1363.55,14475162,23476341772.45,269979
2024-07-18,EQ,1608.0,1623.95,1599.15,1619.75,1615.0,1614.8,1613.29,1794.0,1363.55,16858532,27197655556.65,332318
2024-07-19,EQ,1616.0,1623.0,1603.5,1614.8,1605.0,1607.3,1609.91,1794.0,1363.55,13001076,20930535372.85,276983
2024-07-22,EQ,1617.0,1651.0,1612.65,1607.3,1642.0,1642.55,1637.66,1794.0,1363.55,26872411,44007904357.7,548620
2024-07-23,EQ,1647.55,1647.8,1605.0,1642.55,1616.6,1618.4,1623.96,1794.0,1363.55,26001076,42224780773.65,449509
2024-07-24,EQ,1608.15,1621.0,1588.05,1618.4,1608.35,1604.05,1604.13,1794.0,1363.55,30864103,49509947077.3,432932
2024-07-25,EQ,1593.0,1625.0,1593.0,1604.05,1616.75,1616.6,1613.59,1794.0,1363.55,12767866,20602046896.3,279974
2024-07-26,EQ,1605.0,1621.75,1596.45,1616.6,1616.3,1618.15,1609.37,1794.0,1363.55,21905270,35253630971.05,355180
2024-07-29,EQ,1615.0,1631.85,1598.3,1618.15,1605.0,1605.05,1611.97,1794.0,1363.55,25500574,41106152746.35,472326
2024-07-30,EQ,1602.0,1634.75,1599.0,1605.05,1614.2,1615.55,1615.74,1794.0,1363.55,27297917,44106424811.4,455812
2024-07-31,EQ,1614.0,1627.9,1609.2,1615.55,1617.95,1615.75,1617.31,1794.0,1363.55,18910242,30583806061.7,334519
2024-08-01,EQ,1622.9,1650.05,1617.95,1615.75,1647.65,1638.8,1632.59,1794.0,1363.55,13107587,21399347523.9,287915
2024-08-02,EQ,1631.0,1670.5,1631.0,1638.8,1658.05,1659.15,1658.62,1794.0,1363.55,22059619,36588623126.1,457935
2024-08-05,EQ,1640.1,1646.0,1601.0,1659.15,1616.05,1615.75,1622.77,1794.0,1363.55,20666817,33537431288.7,464696
2024-08-06,EQ,1630.0,1632.95,1593.3,1615.75,1602.7,1601.2,1608.02,1794.0,1363.55,22558025,36273837922.85,388854
2024-08-07,EQ,1617.0,1630.0,1602.2,1601.2,1628.5,1623.5,1617.23,1794.0,1363.55,21173132,34241847264.5,337720
2024-08-08,EQ,1624.0,1653.3,1619.25,1623.5,1640.2,1642.7,1638.73,1794.0,1363.55,16988475,27839562575.6,327468
2024-08-09,EQ,1652.0,1662.55,1645.8,1642.7,1650.0,1650.2,1655.58,1794.0,1363.55,13322309,22056157155.5,291916
2024-08-12,EQ,1652.0,1675.95,1647.35,1650.2,1660.0,1660.1,1664.63,1794.0,1363.55,19658098,32723506965.0,363538
2024-08-13,EQ,1628.0,1632.4,1601.15,1660.1,1605.9,1603.2,1613.32,1794.0,1363.55,27027521,43604163966.1,601558
2024-08-14,EQ,1606.5,1613.7,1603.2,1603.2,1607.8,1607.8,1607.97,1794.0,1363.55,16167214,25996412110.4,259067
2024-08-16,EQ,1628.5,1634.15,1611.0,1607.8,1631.5,1632.1,1624.71,1794.0,1363.55,13924623,22623479529.55,302506
2024-08-19,EQ,1637.65,1637.65,1623.7,1632.1,1632.75,1631.55,1628.46,1794.0,1363.55,9751082,15879278800.8,166314
2024-08-20,EQ,1627.45,1646.0,1627.45,1631.55,1634.0,1637.7,1639.14,1794.0,1363.55,15567247,25516952644.85,240802
2024-08-21,EQ,1628.1,1634.55,1617.8,1637.7,1628.0,1625.8,1624.85,1794.0,1363.55,23815452,38696527016.25,323415
2024-08-22,EQ,1632.0,1638.3,1628.0,1625.8,1628.95,1631.3,1632.58,1794.0,1363.55,10650319,17387521802.75,272441
2024-08-23,EQ,1634.0,1634.0,1623.0,1631.3,1625.2,1625.05,1627.63,1794.0,1363.55,10166711,16547668751.15,212238
2024-08-26,EQ,1632.2,1647.95,1632.2,1625.05,1640.0,1639.95,1642.31,1794.0,1363.55,11182133,18364486559.55,275112
2024-08-27,EQ,1643.4,1647.4,1632.2,1639.95,1634.45,1637.75,1639.59,1794.0,1363.55,17886622,29326792469.0,292507
2024-08-28,EQ,1637.75,1639.75,1630.2,1637.75,1635.95,1637.1,1636.29,1794.0,1363.55,13460594,22025391586.45,275424
2024-08-29,EQ,1642.0,1644.4,1631.15,1637.1,1639.95,1638.55,1637.56,1794.0,1363.55,24526302,40163206501.15,432962
2024-08-30,EQ,1656.0,1662.0,1621.15,1638.55,1625.75,1636.9,1638.34,1794.0,1363.55,222671050,364811305104.2,564643
2024-09-02,EQ,1646.8,1646.8,1623.2,1636.9,1626.0,1626.95,1631.94,1794.0,1363.55,17024840,27783483803.95,375245
2024-09-03,EQ,1634.0,1639.95,1624.6,1626.95,1638.0,1637.35,1632.11,1794.0,1363.55,18641430,30424819912.05,292439
2024-09-04,EQ,1639.0,1644.8,1632.0,1637.35,1641.05,1641.8,1639.54,1794.0,1363.55,12341372,20234215559.05,294496
2024-09-05,EQ,1646.0,1649.9,1642.0,1641.8,1644.4,1645.45,1645.43,1794.0,1363.55,11438159,18820712001.8,245493
2024-09-06,EQ,1638.3,1647.75,1634.1,1645.45,1638.15,1636.95,1639.77,1794.0,1363.55,13014801,21341304566.1,296891
2024-09-09,EQ,1638.0,1648.5,1630.1,1636.95,1644.85,1646.5,1640.85,1794.0,1363.55,11896457,19520244474.05,258547
2024-09-10,EQ,1654.0,1654.0,1638.0,1646.5,1650.8,1650.35,1648.2,1794.0,1363.55,13303323,21926534318.85,306124
2024-09-11,EQ,1650.4,1652.5,1639.2,1650.35,1650.0,1643.9,1645.85,1794.0,1363.55,11113342,18290901279.5,248100
